Filename,Model_Type,Dim,Window,Neg,Clustering_Score,Valid_Words
cbow_d300_w5_n20.model,cbow,300,5,20,-0.0021,44
skipgram_d350_w10_n15.model,skipgram,350,10,15,-0.0022,44
skipgram_d300_w8_n20.model,skipgram,300,8,20,-0.0024,44
skipgram_d200_w5_n5.model,skipgram,200,5,5,-0.0024,44
skipgram_d350_w5_n15.model,skipgram,350,5,15,-0.0024,44
skipgram_d200_w10_n15.model,skipgram,200,10,15,-0.0026,44
skipgram_d100_w5_n5.model,skipgram,100,5,5,-0.0028,44
skipgram_d100_w5_n20.model,skipgram,100,5,20,-0.0028,44
skipgram_d300_w8_n5.model,skipgram,300,8,5,-0.003,44
skipgram_d350_w8_n10.model,skipgram,350,8,10,-0.003,44
skipgram_d350_w8_n5.model,skipgram,350,8,5,-0.0031,44
cbow_d200_w5_n10.model,cbow,200,5,10,-0.0032,44
skipgram_d200_w10_n5.model,skipgram,200,10,5,-0.0032,44
skipgram_d300_w10_n5.model,skipgram,300,10,5,-0.0034,44
skipgram_d200_w8_n20.model,skipgram,200,8,20,-0.0036,44
skipgram_d300_w10_n10.model,skipgram,300,10,10,-0.0037,44
skipgram_d200_w8_n10.model,skipgram,200,8,10,-0.004,44
skipgram_d100_w10_n5.model,skipgram,100,10,5,-0.004,44
skipgram_d200_w10_n10.model,skipgram,200,10,10,-0.0041,44
skipgram_d200_w8_n15.model,skipgram,200,8,15,-0.0042,44
skipgram_d350_w8_n15.model,skipgram,350,8,15,-0.0044,44
skipgram_d350_w5_n5.model,skipgram,350,5,5,-0.0045,44
skipgram_d300_w5_n20.model,skipgram,300,5,20,-0.0048,44
cbow_d200_w10_n10.model,cbow,200,10,10,-0.0049,44
skipgram_d200_w5_n10.model,skipgram,200,5,10,-0.0052,44
skipgram_d100_w5_n10.model,skipgram,100,5,10,-0.0052,44
skipgram_d300_w5_n10.model,skipgram,300,5,10,-0.0055,44
skipgram_d100_w8_n5.model,skipgram,100,8,5,-0.0056,44
skipgram_d50_w3_n5.model,skipgram,50,3,5,-0.007,43
cbow_d200_w10_n15.model,cbow,200,10,15,-0.0072,44
cbow_d50_w3_n10.model,cbow,50,3,10,-0.0074,43
cbow_d50_w3_n5.model,cbow,50,3,5,-0.0078,43
skipgram_d100_w5_n15.model,skipgram,100,5,15,-0.0079,44
skipgram_d300_w5_n5.model,skipgram,300,5,5,-0.0082,44
cbow_d300_w10_n15.model,cbow,300,10,15,-0.0082,44
skipgram_d200_w5_n15.model,skipgram,200,5,15,-0.0089,44
skipgram_d300_w5_n15.model,skipgram,300,5,15,-0.0093,44
cbow_d50_w5_n15.model,cbow,50,5,15,-0.0096,43
cbow_d100_w10_n10.model,cbow,100,10,10,-0.0106,44
skipgram_d100_w8_n20.model,skipgram,100,8,20,-0.0109,44
cbow_d100_w5_n15.model,cbow,100,5,15,-0.0116,44
cbow_d200_w5_n15.model,cbow,200,5,15,-0.0119,44
cbow_d50_w7_n5.model,cbow,50,7,5,-0.012,43
cbow_d300_w8_n15.model,cbow,300,8,15,-0.0124,44
cbow_d200_w8_n10.model,cbow,200,8,10,-0.0125,44
cbow_d100_w8_n15.model,cbow,100,8,15,-0.0133,44
cbow_d50_w5_n5.model,cbow,50,5,5,-0.0139,43
cbow_d300_w10_n10.model,cbow,300,10,10,-0.0143,44
cbow_d200_w8_n15.model,cbow,200,8,15,-0.0143,44
cbow_d100_w8_n10.model,cbow,100,8,10,-0.0144,44
skipgram_d100_w10_n20.model,skipgram,100,10,20,-0.0148,44
cbow_d100_w5_n5.model,cbow,100,5,5,-0.0148,44
cbow_d300_w5_n10.model,cbow,300,5,10,-0.0149,44
cbow_d300_w5_n15.model,cbow,300,5,15,-0.0155,44
cbow_d100_w5_n10.model,cbow,100,5,10,-0.0156,44
cbow_d50_w3_n15.model,cbow,50,3,15,-0.0157,43
cbow_d100_w10_n15.model,cbow,100,10,15,-0.0158,44
cbow_d300_w10_n5.model,cbow,300,10,5,-0.0165,44
cbow_d100_w8_n5.model,cbow,100,8,5,-0.0168,44
cbow_d50_w5_n10.model,cbow,50,5,10,-0.0174,43
cbow_d300_w5_n5.model,cbow,300,5,5,-0.018,44
cbow_d200_w10_n5.model,cbow,200,10,5,-0.0181,44
cbow_d300_w8_n5.model,cbow,300,8,5,-0.0196,44
cbow_d200_w5_n5.model,cbow,200,5,5,-0.0196,44
cbow_d100_w10_n5.model,cbow,100,10,5,-0.0206,44
cbow_d200_w8_n5.model,cbow,200,8,5,-0.0209,44
cbow_d300_w8_n10.model,cbow,300,8,10,-0.0213,44
cbow_d50_w7_n10.model,cbow,50,7,10,-0.023,43
cbow_d50_w7_n15.model,cbow,50,7,15,-0.023,43
cbow_d100_w7_n5.model,cbow,100,7,5,-0.027,43
cbow_d200_w7_n10.model,cbow,200,7,10,-0.0276,43
cbow_d100_w7_n10.model,cbow,100,7,10,-0.0282,43
cbow_d200_w7_n15.model,cbow,200,7,15,-0.0284,43
cbow_d100_w7_n15.model,cbow,100,7,15,-0.0291,43
cbow_d200_w7_n5.model,cbow,200,7,5,-0.0308,43
